Column Name,Description,mean,std,min,25%,50%,75%,max
x_dem_dm,Is democrat,-0.0090,0.7718,-2.0541,-0.5763,-0.0496,0.6000,2.5806
x_republican_dm,Is replublican,0.0090,0.7718,-2.5806,-0.6000,0.0496,0.5763,2.0541
x_instate_ba_dm,Whether B.A. received in same state as appointment,0.0006,0.7849,-2.1857,-0.5000,-0.0227,0.5513,2.0702
x_elev_dm,"If judge was elevated from the district courts, president who made the district bench appointment",-0.0027,0.7541,-1.9773,-0.5067,-0.0473,0.5648,2.3578
x_unity_dm,Whether government (Congress and president) was unified or divided,-0.0058,0.7259,-1.5128,-0.5263,-0.0496,0.4746,2.5806
x_aba_dm,American Bar Association rating,0.0077,1.0578,-3.2715,-0.7326,0.0642,0.6543,5.3690
x_crossa_dm,Whether judge and appointing president were of the same or different political parties,-0.0001,0.4004,-0.8529,-0.2267,-0.1266,0.0000,2.5185
x_pfedjdge_dm,If is federal district judge,-0.0021,0.7531,-2.2807,-0.5070,0.0000,0.5294,2.6341
x_pindreg1_dm,If have other federal experience,0.0064,0.6564,-1.5034,-0.4722,-0.0930,0.4833,2.2899
x_plawprof_dm,Full-time law professor,-0.0003,0.6657,-2.0727,-0.5135,-0.1429,0.4652,2.5811
x_pscab_dm,Sub-cabinet secretary,0.0015,0.3403,-1.3333,-0.1380,-0.0167,0.0000,1.9737
x_pcab_dm,Sub-cabinet secretary,0.0000,0.0340,-0.0870,0.0000,0.0000,0.0000,0.9292
x_pusa_dm,U.S. Attorney,0.0034,0.3771,-0.8913,-0.2200,-0.0481,0.0000,2.2500
x_pssenate_dm,State senate,0.0006,0.2095,-0.3793,-0.0476,0.0000,0.0000,1.7769
x_paag_dm,"Sub-cabinet secretary, Department of Justice",-0.0002,0.2971,-1.2667,-0.0927,-0.0100,0.0000,1.9073
x_psp_dm,Special prosecutor,0.0011,0.0876,-0.1704,0.0000,0.0000,0.0000,0.9628
x_pslc_dm,State lower court judge,0.0011,0.6349,-1.4400,-0.5435,-0.0870,0.3611,2.4762
x_pssc_dm,State lower court judge,0.0009,0.4581,-0.7324,-0.3155,-0.1560,0.2676,2.4561
x_pshouse_dm,State house,0.0002,0.2875,-0.5610,-0.1233,-0.0357,0.0000,1.9057
x_psg_dm,Solicitor-General,-0.0003,0.1086,-0.3684,0.0000,0.0000,0.0000,0.9925
x_psgo_dm,Solicitor-General's office,-0.0015,0.2445,-0.8730,-0.0198,0.0000,0.0000,2.2069
x_psenate_dm,U.S. Senate,-0.0004,0.0875,-0.3684,0.0000,0.0000,0.0000,0.9545
x_psatty_dm,Atate attorney,0.0070,0.5997,-1.3684,-0.4667,-0.2131,0.4649,2.6408
x_pprivate_dm,Private practice,-0.0045,0.3957,-2.5877,0.0000,0.0374,0.1842,1.0000
x_pmayor_dm,Mayor,-0.0004,0.2065,-0.4412,-0.0714,0.0000,0.0000,0.9912
x_plocct_dm,Local/municipal court judge,0.0002,0.3733,-0.5455,-0.2111,-0.0878,0.0000,1.9122
x_phouse_dm,U.S. House of Representatives,-0.0012,0.1820,-0.3333,-0.0253,0.0000,0.0000,0.9912
x_pgov_dm,Governor,-0.0008,0.1337,-0.3000,-0.0097,0.0000,0.0000,0.9912
x_pda_dm,District/County/City Attorney,0.0020,0.3132,-0.7273,-0.0642,0.0000,0.0000,1.9358
x_pcc_dm,Congressional counsel,-0.0004,0.2513,-0.6875,-0.0826,0.0000,0.0000,1.6889
x_pccoun_dm,City council,-0.0005,0.1949,-0.4138,-0.0106,0.0000,0.0000,1.8582
x_pausa_dm,Assistant U.S. Attorney,0.0013,0.4239,-1.3571,-0.2727,-0.0968,0.0000,2.4091
x_pada_dm,Deputy or assistant district/county/city attorney,0.0032,0.4343,-1.3333,-0.2027,-0.0283,0.0000,2.7368
x_pgovt_dm,Any governmental experience,-0.0047,0.6331,-2.3014,-0.2844,0.0000,0.3333,1.7143
